index link words
0 https://ru.wikipedia.org/wiki 1243
1 https://ru.wikipedia.org/wiki/Википедия:Патрулирование 4446
2 https://ru.wikipedia.org/wiki/Википедия 7525
3 https://ru.wikipedia.org/wiki/Русский_язык 18302
4 https://ru.wikipedia.org/wiki/Смирнов,_Александр_Васильевич_(библиограф) 6238
5 https://ru.wikipedia.org/wiki/7_сентября 2130
6 https://ru.wikipedia.org/wiki/1854_год 1564
7 https://ru.wikipedia.org/wiki/3_декабря 1892
8 https://ru.wikipedia.org/wiki/1918_год 6396
9 https://ru.wikipedia.org/wiki/Историк 3884
10 https://ru.wikipedia.org/wiki/Русская_литература 11789
11 https://ru.wikipedia.org/wiki/Археограф 2531
12 https://ru.wikipedia.org/wiki/Библиография 2514
13 https://ru.wikipedia.org/wiki/Врач 2811
14 https://ru.wikipedia.org/wiki/Краевед 3859
15 https://ru.wikipedia.org/wiki/Владимирская_губерния 3681
16 https://ru.wikipedia.org/wiki/Русский_биографический_словарь 1558
17 https://ru.wikipedia.org/wiki/Половцов,_Александр_Александрович 1685
18 https://ru.wikipedia.org/wiki/Масанов,_Иван_Филиппович 2907
19 https://ru.wikipedia.org/wiki/Императорский_Варшавский_университет 2508
20 https://ru.wikipedia.org/wiki/Императорский_Московский_университет 12657
21 https://ru.wikipedia.org/wiki/Исторический_вестник 2198
22 https://ru.wikipedia.org/wiki/Русская_старина 1725
23 https://ru.wikipedia.org/wiki/Русский_архив 1336
24 https://ru.wikipedia.org/wiki/Википедия:Избранные_статьи 5693
25 https://ru.wikipedia.org/wiki/Википедия:Кандидаты_в_избранные_статьи 1970
26 https://ru.wikipedia.org/wiki/Шаблон:Текущая_избранная_статья 1479
27 https://ru.wikipedia.org/wiki/Турнир_(фильм,_1928) 2848
28 https://ru.wikipedia.org/wiki/Французский_язык 4441
29 https://ru.wikipedia.org/wiki/Немой_кинематограф 3526
30 https://ru.wikipedia.org/wiki/Ренуар,_Жан 2980
31 https://ru.wikipedia.org/wiki/Каркасон 2868
32 https://ru.wikipedia.org/wiki/Религиозные_войны_во_Франции 2525
33 https://ru.wikipedia.org/wiki/Фехтование 3351
34 https://ru.wikipedia.org/wiki/Утерянный_фильм 3523
35 https://ru.wikipedia.org/wiki/Википедия:Хорошие_статьи 11756
36 https://ru.wikipedia.org/wiki/Википедия:Кандидаты_в_хорошие_статьи 3723
37 https://ru.wikipedia.org/wiki/Шаблон:Текущая_хорошая_статья 1170
38 https://ru.wikipedia.org/wiki/Список_наград_и_номинаций_мультфильма_«Человек-паук:_Через_вселенные» 2058
39 https://ru.wikipedia.org/wiki/Список_глав_правительства_Белоруссии 2805
40 https://ru.wikipedia.org/wiki/Википедия:Избранные_списки_и_порталы 7520
41 https://ru.wikipedia.org/wiki/Википедия:Кандидаты_в_избранные_списки_и_порталы 2153
42 https://ru.wikipedia.org/wiki/Файл:Yellowstone_National_Park_(WY,_USA),_Lower_Geyser_Basin_--_2022_--_2401.jpg 1216
43 https://ru.wikipedia.org/wiki/Йеллоустонский_национальный_парк 4245
44 https://ru.wikipedia.org/wiki/Соединённые_Штаты_Америки 9528
45 https://ru.wikipedia.org/wiki/Википедия:Изображение_дня 1156
46 https://ru.wikipedia.org/wiki/Ким_Чен_Ир 4358
47 https://ru.wikipedia.org/wiki/Ким_Чен_Ын 7100
48 https://ru.wikipedia.org/wiki/Милет 2018
49 https://ru.wikipedia.org/wiki/Хью_I_де_Баллиол 1642
50 https://ru.wikipedia.org/wiki/Бишкек 5859
51 https://ru.wikipedia.org/wiki/Ататюрк,_Мустафа_Кемаль 8085
52 https://ru.wikipedia.org/wiki/Каон 1953
53 https://ru.wikipedia.org/wiki/Рахмон,_Эмомали 7598
54 https://ru.wikipedia.org/wiki/Домбровский,_Ярослав 1001
55 https://ru.wikipedia.org/wiki/Чаадаев,_Пётр_Яковлевич 6101
56 https://ru.wikipedia.org/wiki/Торпедо_(футбольный_клуб,_Москва) 8872
57 https://ru.wikipedia.org/wiki/Проект:Знаете_ли_вы/Архив_рубрики 4763
58 https://ru.wikipedia.org/wiki/Война_в_Газе_(с_2023) 26451
59 https://ru.wikipedia.org/wiki/Вторжение_России_на_Украину_(с_2022) 28471
60 https://ru.wikipedia.org/wiki/Операция_«Страж_процветания» 1988
61 https://ru.wikipedia.org/wiki/Список_умерших_в_2024_году 4013
62 https://ru.wikipedia.org/wiki/Казахстан 23189
63 https://ru.wikipedia.org/wiki/Время_в_Казахстане 3056
64 https://ru.wikipedia.org/wiki/Золотой_медведь 1070
65 https://ru.wikipedia.org/wiki/Премия_«Серебряный_медведь»_за_лучшую_режиссуру 1395
66 https://ru.wikipedia.org/wiki/Сборная_Бразилии_по_пляжному_футболу 1662
67 https://ru.wikipedia.org/wiki/Чемпионат_мира_по_пляжному_футболу_2024 1644
68 https://ru.wikipedia.org/wiki/Чемпионат_мира_по_пляжному_футболу 1265
69 https://ru.wikipedia.org/wiki/Сборная_Италии_по_пляжному_футболу 1295
70 https://ru.wikipedia.org/wiki/Спутники_Нептуна 1307
71 https://ru.wikipedia.org/wiki/Спутники_Урана 2617
72 https://ru.wikipedia.org/wiki/BAFTA_(премия,_2024) 1748
73 https://ru.wikipedia.org/wiki/BAFTA 1192
74 https://ru.wikipedia.org/wiki/Оппенгеймер_(фильм) 3712
75 https://ru.wikipedia.org/wiki/Нолан,_Кристофер 5265
76 https://ru.wikipedia.org/wiki/Премия_BAFTA_за_лучший_фильм 4456
77 https://ru.wikipedia.org/wiki/Премия_BAFTA_за_лучшую_режиссуру 1630
78 https://ru.wikipedia.org/wiki/Премия_BAFTA_за_лучшую_мужскую_роль 4625
79 https://ru.wikipedia.org/wiki/Мерфи,_Киллиан 4955
80 https://ru.wikipedia.org/wiki/Премия_BAFTA_за_лучшую_женскую_роль 4171
81 https://ru.wikipedia.org/wiki/Стоун,_Эмма 4699
82 https://ru.wikipedia.org/wiki/Бедные-несчастные_(фильм) 1615
83 https://ru.wikipedia.org/wiki/Мальчик_и_птица 6991
84 https://ru.wikipedia.org/wiki/Премия_BAFTA_за_лучший_документальный_фильм 1292
85 https://ru.wikipedia.org/wiki/20_дней_в_Мариуполе 2446
86 https://ru.wikipedia.org/wiki/Магнетизм 6789
87 https://ru.wikipedia.org/wiki/Портал:Текущие_события 1321
88 https://ru.wikipedia.org/wiki/Википедия:Текущие_события_на_заглавной_странице/Кандидаты 30453
89 https://ru.wikipedia.org/wiki/Википедия:Текущие_события_на_заглавной_странице/Архив_рубрики 1481
90 https://ru.wikipedia.org/wiki/2_марта 2253
91 https://ru.wikipedia.org/wiki/1791_год 1255
92 https://ru.wikipedia.org/wiki/Оптический_телеграф 2227
93 https://ru.wikipedia.org/wiki/1836_год 1008
94 https://ru.wikipedia.org/wiki/1930_год 4655
95 https://ru.wikipedia.org/wiki/Правда_(газета) 4370
96 https://ru.wikipedia.org/wiki/Сталин,_Иосиф_Виссарионович 29155
97 https://ru.wikipedia.org/wiki/Головокружение_от_успехов 1560
98 https://ru.wikipedia.org/wiki/1933_год 2671
99 https://ru.wikipedia.org/wiki/Нью-Йорк 6786
100 https://ru.wikipedia.org/wiki/Кинг-Конг_(фильм,_1933) 2458
